,ID,Nationality,Age,Position,Height,Weight
99,179846,Germany,31,RCM,188.976,89.79591836734694
100,179844,Spain,29,LS,188.976,86.16780045351473
101,178518,Belgium,30,CAM,179.83200000000002,77.09750566893423
102,171919,Brazil,35,CB,201.16799999999998,91.156462585034
103,170890,France,31,LM,155.7528,74.82993197278911
104,168609,Brazil,33,CB,185.928,78.00453514739229
105,165153,France,30,ST,185.928,81.17913832199547
106,164169,Brazil,32,LB,182.88,73.92290249433107
107,139720,Belgium,32,CB,192.024,84.80725623582767
108,120533,Portugal,35,RCB,188.976,81.17913832199547
109,41236,Sweden,36,RS,198.12,94.7845804988662
110,220793,Colombia,22,RCB,188.976,78.91156462585033
111,216460,Uruguay,23,RCB,185.928,79.81859410430839
112,212462,Brazil,25,LB,155.7528,71.20181405895691
113,212218,France,24,LCB,188.976,84.80725623582767
114,212198,Portugal,23,LCM,155.44799999999998,68.93424036281179
115,212190,Germany,22,CB,198.12,97.05215419501134
116,211300,France,22,LW,182.88,76.19047619047619
117,211117,England,22,LCM,188.976,79.81859410430839
118,209499,Brazil,24,CDM,188.976,78.00453514739229
119,207865,Brazil,24,LDM,182.88,74.82993197278911
120,207566,Portugal,26,CDM,188.976,82.99319727891157
121,205498,Italy,26,CM,155.7528,67.12018140589569
122,204970,France,25,RM,155.44799999999998,69.84126984126983
123,204963,Spain,26,RB,176.784,73.01587301587301
124,202556,Netherlands,24,ST,179.83200000000002,78.00453514739229
125,200104,Korea Republic,25,LM,182.88,64.85260770975056
126,199482,Portugal,27,GK,182.88,81.17913832199547
127,198176,Netherlands,26,CB,188.976,78.00453514739229
128,198009,Italy,25,GK,188.976,77.09750566893423
129,193082,Colombia,30,RAM,155.44799999999998,72.10884353741497
130,192629,Spain,30,ST,179.83200000000002,67.12018140589569
131,192563,Germany,26,GK,192.024,82.99319727891157
132,191202,Serbia,29,CDM,195.072,84.80725623582767
133,190941,Finland,28,GK,195.072,84.80725623582767
134,190584,Spain,28,RDM,155.44799999999998,74.82993197278911
135,188377,England,28,RB,182.88,69.84126984126983
136,186942,Germany,27,CM,155.7528,79.81859410430839
137,185020,Spain,31,RM,155.44799999999998,73.01587301587301
138,183898,Argentina,30,RM,155.7528,68.93424036281179
139,181783,Croatia,32,ST,192.024,84.80725623582767
140,180403,Brazil,29,RW,179.83200000000002,78.00453514739229
141,178750,Spain,29,GK,188.976,87.07482993197279
142,178562,Argentina,30,CDM,179.83200000000002,71.20181405895691
143,177413,Belgium,29,LCM,188.976,81.17913832199547
144,177388,France,31,CAM,179.83200000000002,77.09750566893423
145,176769,Brazil,34,ST,155.7528,73.92290249433107
146,172879,Greece,30,RCB,185.928,84.80725623582767
147,167628,France,31,GK,188.976,92.9705215419501
148,167397,Colombia,32,RS,155.44799999999998,72.10884353741497
149,163587,Denmark,31,GK,188.976,88.88888888888889
150,157481,Spain,32,RCB,192.024,82.08616780045351
151,143076,Argentina,30,LS,167.64000000000001,68.02721088435374
152,137186,Italy,37,CB,188.976,87.07482993197279
153,20775,Portugal,34,RM,179.83200000000002,67.12018140589569
154,9014,Netherlands,34,RM,155.7528,79.81859410430839
155,231443,France,21,RW,155.44799999999998,67.12018140589569
156,230666,Brazil,21,ST,179.83200000000002,73.01587301587301
157,230481,Brazil,26,RW,155.44799999999998,74.82993197278911
158,230375,Brazil,26,LCB,185.928,79.81859410430839
159,230294,Brazil,26,ST,188.976,82.99319727891157
160,225850,France,22,LCB,188.976,79.81859410430839
161,220971,Guinea,23,CM,176.784,63.945578231292515
162,219683,France,23,CM,155.7528,81.17913832199547
163,213565,France,22,LM,173.73600000000002,62.131519274376416
164,213345,France,22,LM,155.44799999999998,71.20181405895691
165,213331,Germany,22,CB,198.12,97.05215419501134
166,212523,Brazil,24,CAM,192.024,79.81859410430839
167,212188,Germany,22,RW,155.7528,74.82993197278911
168,210008,France,23,CM,195.072,79.81859410430839
169,209658,Germany,23,CM,188.976,78.91156462585033
170,208808,Netherlands,26,RM,179.83200000000002,72.10884353741497
171,208670,Morocco,25,RAM,155.7528,64.85260770975056
172,208618,Spain,27,RW,176.784,69.84126984126983
173,208418,Belgium,24,LM,155.7528,73.01587301587301
174,208093,Spain,26,LS,155.7528,77.09750566893423
175,207863,Brazil,29,RCB,192.024,86.16780045351473
176,207410,Croatia,24,LCM,179.83200000000002,78.00453514739229
177,206585,Spain,23,GK,185.928,84.80725623582767
178,206545,Spain,26,RCM,155.44799999999998,74.82993197278911
179,206113,Germany,22,ST,179.83200000000002,74.82993197278911
180,204935,England,24,GK,185.928,77.09750566893423
181,204639,Montenegro,27,CB,188.976,78.91156462585033
182,203574,England,24,RCB,188.976,69.84126984126983
183,202651,Spain,24,RW,179.83200000000002,69.84126984126983
184,202166,Germany,24,CM,188.976,77.09750566893423
185,201995,Brazil,25,LM,179.83200000000002,69.84126984126983
186,200949,Brazil,25,RM,179.83200000000002,69.84126984126983
187,200888,Portugal,26,CDM,188.976,82.99319727891157
188,200724,Spain,28,CB,155.7528,76.19047619047619
189,200316,Germany,25,GK,195.072,89.79591836734694
190,199914,Brazil,27,RCM,179.83200000000002,73.92290249433107
191,199845,Italy,30,CB,195.072,87.98185941043084
192,199564,Spain,26,RB,155.44799999999998,68.02721088435374
193,198329,Spain,27,ST,182.88,77.09750566893423
194,197965,Portugal,28,LCM,155.44799999999998,72.10884353741497
195,195365,Slovenia,27,LCM,155.44799999999998,67.12018140589569
196,194404,Brazil,28,GK,192.024,83.90022675736961
197,193698,Germany,28,GK,188.976,82.08616780045351
198,193474,Senegal,28,RDM,179.83200000000002,66.21315192743764
199,192883,Armenia,29,RM,155.44799999999998,74.82993197278911
200,192638,Spain,27,LB,188.976,87.07482993197279
